Molecular Weight,Instability Index
11287.718299999986,34.07920792079207
3336.7517000000003,37.26451612903226
1906.0845,71.10555555555557
24861.10380000002,33.210091743119264
22587.40750000001,35.948223350253805
12923.613499999985,33.55178571428571
1463.6824,18.723076923076924
575.682,28.900000000000002
29278.012400000007,46.606666666666655
17246.411099999983,56.185430463576154
14464.360699999992,58.16746031746032
9363.530099999998,79.74197530864197
6633.462800000001,81.759649122807
5388.052100000002,64.35106382978724
4473.968100000001,70.93249999999999
3461.8704000000007,75.05999999999997
1910.1097,123.93749999999997
29465.35130000001,45.07176470588236
17414.66369999999,53.55827814569537
13283.023699999994,58.786086956521736
9537.651499999998,70.98765432098764
6749.601200000001,92.35087719298245
5504.190500000002,77.19574468085106
4590.106500000002,86.02499999999999
3519.9727000000003,92.66999999999997
2778.0738,112.64347826086956
1910.1097,123.93749999999997
25337.53740000001,39.57863636363636
23040.804399999997,43.05577889447237
20771.148,39.67388888888889
13113.74589999999,42.04298245614034
3906.4341000000004,49.01428571428571
24988.158700000015,43.677522935779805
20457.955800000003,46.3073033707865
12872.568499999987,47.7330357142857
25480.904100000003,44.5162331838565
20105.782199999987,37.21793296089384
18408.772299999986,36.125214723926376
18149.447099999987,36.91807453416149
17074.16749999998,35.790794701986755
16239.18529999998,35.695902777777775
14869.645999999986,31.625075757575747
